,County,Type of school,Professional qualification,0
373,Sinoe,Faith-based,B.Sc. in Education,25.0
374,Sinoe,Faith-based,In-service B Certificate,10.0
375,Sinoe,Faith-based,In-service C Certificate,49.0
376,Sinoe,Faith-based,M.Sc. in Education,2.0
377,Sinoe,Faith-based,No teaching certificate,94.0
378,Sinoe,Faith-based,Pre-service B Certificate,15.0
379,Sinoe,Faith-based,Pre-service C Certificate,49.0
380,Sinoe,Private,AA Certificate,24.0
381,Sinoe,Private,B.Sc. in Education,4.0
382,Sinoe,Private,In-service B Certificate,5.0
383,Sinoe,Private,In-service C Certificate,39.0
384,Sinoe,Private,No teaching certificate,59.0
385,Sinoe,Private,Pre-service B Certificate,2.0
386,Sinoe,Private,Pre-service C Certificate,50.0
387,Sinoe,Public,AA Certificate,33.0
388,Sinoe,Public,B.Sc. in Education,63.0
389,Sinoe,Public,In-service B Certificate,10.0
390,Sinoe,Public,In-service C Certificate,360.0
391,Sinoe,Public,No teaching certificate,317.0
392,Sinoe,Public,Pre-service B Certificate,21.0
393,Sinoe,Public,Pre-service C Certificate,199.0
